"Program Name","Institution Name",District,"Accredited Date","Expiry Date",Status
"Bachelor of Arts in Philosophical and Social Studies (Affiliation to Uganda Marytrs University","Queen of Apostles Philosophy Centre, Jinja",Jinja,23/Aug/2021,23/Aug/2026,Active
"Bachelor of Arts in Economics","Uganda Martyrs University",Mpigi,23/Aug/2021,23/Aug/2026,Active
"Bachelor of International Relations and Migration Studies","University of Kisubi",Wakiso,23/Aug/2021,23/Aug/2026,Active
"Bachelor of Science in Information Technology","University of Kisubi",Wakiso,23/Aug/2021,23/Aug/2026,Active
"Master of Social Work","University of Kisubi",Wakiso,23/Aug/2021,23/Aug/2026,Active
"Postgraduate Diploma in Management","University of Kisubi",Wakiso,23/Aug/2021,23/Aug/2026,Active
"Postgraduate Diploma in Monitoring and Evaluation","University of Kisubi",Wakiso,23/Aug/2021,23/Aug/2026,Active
"Diploma in Human Resources Management","Victoria University",Kampala,23/Aug/2021,23/Aug/2026,Active
"Diploma in Business Administration","Victoria University",Kampala,23/Aug/2021,23/Aug/2026,Active
"Diploma in Real Estate and Property Management","Victoria University",Kampala,23/Aug/2021,23/Aug/2026,Active
"Bachelors of Real Estate and Property Management","Victoria University",Kampala,23/Aug/2021,23/Aug/2026,Active
"Bachelor of Oil and Gas Accounting","Victoria University",Kampala,23/Aug/2021,23/Aug/2026,Active
"Bachelor of Mechanical Engineering","Mbarara University of Science and Technology",Mbarara,06/Dec/2021,06/Dec/2026,Active
"Diploma in Electrical Engineering","Ndejje University",Luwero,06/Dec/2021,06/Dec/2026,Active
"Diploma in Mechanical Engineering","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Master of Nursing Science","Mbarara University of Science and Technology",Mbarara,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Science in Cytotechnology","Makerere University",Kampala,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Engineering in Civil Engineering","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Engineering in Electrical Engineering","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Surveying and Geomatics Engineering","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Diploma in Civil Engineering","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Education","Ankole Western University",Sheema,13/Dec/2021,13/Dec/2026,Active
"Higher Education Certificate – Humanities","Artfield Institute of Design",Kampala,13/Dec/2021,13/Dec/2026,Active
"Higher Education Certificate -Biological Sciences","Equator University of Science and Technology (EQUSaT)",Masaka,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Science in Public Health","Islamic University in Uganda",Mbale,13/Dec/2021,13/Dec/2026,Active
"Masters of Laws","Islamic University in Uganda",Mbale,13/Dec/2021,13/Dec/2026,Active
"Master of Arts in Economics","Kabale University",Kabale,13/Dec/2021,13/Dec/2026,Active
"Master of Arts in Literature","Kabale University",Kabale,13/Dec/2021,13/Dec/2026,Active
"Master of Science in Computer Science","Kabale University",Kabale,13/Dec/2021,13/Dec/2026,Active
"Master of Information Technology","Kabale University",Kabale,13/Dec/2021,13/Dec/2026,Active
"Master of Science in Mathematics","Kabale University",Kabale,13/Dec/2021,13/Dec/2026,Active
"Master of Science in Applied Mathematics","Kyambogo University",Kampala,13/Dec/2021,13/Dec/2026,Active
"PhD in Mathematics","Makerere University",Kampala,13/Dec/2021,13/Dec/2031,Active
"PhD in Biology","Mbarara University of Science and Technology",Mbarara,13/Dec/2021,13/Dec/2031,Active
"Bachelor of early Childhood Care and Education","Muni University",Arua,13/Dec/2021,13/Dec/2026,Active
"Diploma in Business Administration","Uganda Institute of Information and Communications Technology",Kampala,13/Dec/2021,13/Dec/2026,Active
"Diploma in Computer Science","Uganda Institute of Information and Communications Technology",Kampala,13/Dec/2021,13/Dec/2026,Active
"Diploma in Electronics Communication Engineering","Uganda Institute of Information and Communications Technology",Kampala,13/Dec/2021,13/Dec/2026,Active
"Diploma in Information Technology for Business","Uganda Institute of Information and Communications Technology",Kampala,13/Dec/2021,13/Dec/2026,Active
"Diploma in Records and Archive Management","Uganda Institute of Information and Communications Technology",Kampala,13/Dec/2021,13/Dec/2026,Active
"National Diploma in Electrical Engineering","Uganda Technical College, Elgon",Mbale,13/Dec/2021,13/Dec/2026,Active
"National Diploma In Mechanical Engineering","Uganda Technical College, Elgon",Mbale,13/Dec/2021,13/Dec/2026,Active
"National Diploma in Civil Engineering","Uganda Technical College, Elgon",Mbale,13/Dec/2021,13/Dec/2026,Active
"National Diploma in Water Engineering","Uganda Technical College, Elgon",Mbale,13/Dec/2021,13/Dec/2026,Active
"National Diploma in Ferrous Metallurgy Engineering","Uganda Technical College, Elgon",Mbale,13/Dec/2021,13/Dec/2026,Active
"Diploma in Midwifery (Extension)","Virika Institute of Health Sciences",Kabarole,13/Dec/2021,13/Dec/2026,Active
"Master of Medicine – Surgery","Uganda Martyrs University",Mpigi,13/Dec/2021,13/Dec/2026,Active
"Master of Medicine – Obstetrics and Gynaecology","Uganda Martyrs University",Mpigi,13/Dec/2021,13/Dec/2026,Active
"Master of Medicine – Paediatrics and Child Health","Uganda Martyrs University",Mpigi,13/Dec/2021,13/Dec/2026,Active
"Master of Medicine – Emergency Care Medicine","Uganda Martyrs University",Mpigi,13/Dec/2021,13/Dec/2026,Active
"Master of Science in Sexual and Reproductive Health","Victoria University",Kampala,13/Dec/2021,13/Dec/2026,Active
"Master of Public Administration","Victoria University",Kampala,13/Dec/2021,13/Dec/2026,Active
"Master of Diplomacy and Global Studies","Victoria University",Kampala,13/Dec/2021,13/Dec/2026,Active
"Masters in Monitoring and Evaluation","Victoria University",Kampala,13/Dec/2021,13/Dec/2026,Active
"Master in Educational Management and Administration","Victoria University",Kampala,13/Dec/2021,13/Dec/2026,Active
"Masters of Science in Information Technology","Victoria University",Kampala,13/Dec/2021,13/Dec/2026,Active
"Masters of Science in Big Data Analytics","Victoria University",Kampala,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Nursing Science-Direct","Victoria University",Kampala,13/Dec/2021,13/Dec/2026,Active
"Diploma in Clinical Medicine and Community Health","Clarke International University",Kampala,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Medical Laboratory Science-Direct","Clarke International University",Kampala,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Medical Laboratory Science-Top Up","Clarke International University",Kampala,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Accounting and Finance","Clarke International University",Kampala,13/Dec/2021,13/Dec/2026,Active
"Postgraduate Diploma in Critical Care Nursing","Clarke International University",Kampala,13/Dec/2021,13/Dec/2026,Active
"Master of Science in Health Informatics and Analytics","Clarke International University",Kampala,13/Dec/2021,13/Dec/2026,Active
"Master of Science in Human Nutrition","Clarke International University",Kampala,13/Dec/2021,13/Dec/2026,Active
"Master of Science in Monitoring and Evaluation","Clarke International University",Kampala,13/Dec/2021,13/Dec/2026,Active
"PhD in Agricultural Value Chain Addition","Uganda Christian University",Mukono,13/Dec/2021,13/Dec/2031,Active
"Bachelor of Food Science and Technology","Uganda Christian University",Mukono,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Environmental Health Science","Uganda Christian University",Mukono,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Science With Education","Uganda Christian University",Mukono,13/Dec/2021,13/Dec/2026,Active
"Master of Science in Pharmaceutical Analysis","Mbarara University of Science and Technology",Mbarara,13/Dec/2021,13/Dec/2026,Active
"PhD in Biomedical Engineering","Mbarara University of Science and Technology",Mbarara,13/Dec/2021,13/Dec/2031,Active
"Bachelor of Civil Engineering","Mbarara University of Science and Technology",Mbarara,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Early Childhood and Primary Education (in Service)","Muteesa I Royal University",Masaka,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Information Technology","Muteesa I Royal University",Masaka,13/Dec/2021,13/Dec/2026,Active
"Diploma in Fashion and Design","Muteesa I Royal University",Masaka,13/Dec/2021,13/Dec/2026,Active
"Diploma in Fine Art and Design","Muteesa I Royal University",Masaka,13/Dec/2021,13/Dec/2026,Active
"Diploma in Mass Communication","Muteesa I Royal University",Masaka,13/Dec/2021,13/Dec/2026,Active
"Higher Education Certificate-Humanities","Muteesa I Royal University",Masaka,13/Dec/2021,13/Dec/2026,Active
"Diploma in Accountancy","Nile Institute of Management Studies Arua",Arua,13/Dec/2021,13/Dec/2026,Active
"Master of Arts in Counselling Psychology","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Master of Business Administration (Oil and Gas Management)","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Master of Computer Science","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Master of Science in Accounting and Finance","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Master of Science in Human Resources Management","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Master of Science in Monitoring and Evaluation","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Master of Science in Procurement and Supply Chain Management","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Master of Science in Security and Conflict Management","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Masters of Science in Information System","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Postgraduate Diploma in Business Administration","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Postgraduate Diploma in Business Administration (Oil and Gas Management)","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Postgraduate Diploma in Monitoring and Evaluation","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Postgraduate Diploma in Public Relations Management","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Postgraduate Diploma in Security and Conflict Management","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Diploma in Public Administration and Management","Nsamizi Training Institute of Social Development",Mpigi,13/Dec/2021,13/Dec/2026,Active
"Diploma in Community Health Management","Nsamizi Training Institute of Social Development",Mpigi,13/Dec/2021,13/Dec/2026,Active
"Diploma in Social Work","Nsamizi Training Institute of Social Development",Mpigi,13/Dec/2021,13/Dec/2026,Active
"Higher Education Certificate Humanities","St. Lawrence University",Kampala,13/Dec/2021,13/Dec/2026,Active
"Master of Business Administration","Victoria University",Kampala,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Midwifery Science","Victoria University",Kampala,13/Dec/2021,13/Dec/2026,Active
"Master of Arts in Public Administration and Management","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Science in Accounting and Finance","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Science in Tourism and Hospitality Management","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Arts in Social Work","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Master of Public Health in Population and Reproductive Health","Uganda Martyrs University",Mpigi,13/Dec/2021,13/Dec/2026,Active
"Diploma in Electrical and Electronics Engineering","Uganda Institute of Information and Communications Technology",Kampala,13/Dec/2021,13/Dec/2026,Active
"Diploma in Procurement and Logistics Management (DPML)","Uganda Institute of Information and Communications Technology",Kampala,13/Dec/2021,13/Dec/2026,Active
"Diploma in Accounting and Finance","Uganda Institute of Information and Communications Technology",Kampala,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Governance and International Relations","Uganda Christian University",Mukono,13/Dec/2021,13/Dec/2026,Active
"Diploma in Tourism and Hotel Management","Muteesa I Royal University",Masaka,13/Dec/2021,13/Dec/2026,Active
"Diploma in Mechanical Engineering","Muteesa I Royal University",Masaka,13/Dec/2021,13/Dec/2026,Active
"Diploma in Electrical Engineering","Muteesa I Royal University",Masaka,13/Dec/2021,13/Dec/2026,Active
"Diploma in Civil Engineering","Muteesa I Royal University",Masaka,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Guidance and Counselling","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Science in Computer Science","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Science in Banking and Insurance","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Commerce","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Diploma in Community Based Development","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Science in Cooperatives and Agribusiness Management","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Bachelors of Social work and Social Administration","Muteesa I Royal University",Masaka,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Mass Communication","Muteesa I Royal University",Masaka,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Fine Art and Design","Muteesa I Royal University",Masaka,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Procurement and Logistics Management","Muteesa I Royal University",Masaka,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Human Resource Management","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Information Technology","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Diploma in Development Studies","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Vocational Studies -Art","Muteesa I Royal University",Masaka,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Business Administration","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Arts in Public Administration","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Arts in Community Based Development","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Arts in Development Studies","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Procurement and Logistics Management","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Diploma in Business Administration","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Entrepreneurship and Management","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Economics","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Postgraduate Diploma in Computer Science","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Microfinance","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Information Science and Secretarial Studies","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Diploma in Entrepreneurship and Management","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Postgraduate Diploma in Project Management","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Postgraduate Diploma in Procurement and Supply Chain Management","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Postgraduate Diploma in Marketing","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
"Bachelor of Arts in Journalism and Mass Communication","Ndejje University",Luwero,13/Dec/2021,13/Dec/2026,Active
